x0000,y0000
-inf,-7.837731831,
0.2701301257,-7.839054721,
0.5711601214,-7.843007605,
0.7472513805,-7.84954258,
0.8721901171,-7.858578045,
0.9691001301,-7.869996147,
1.048281376,-7.883639457,
1.115228166,-7.899307153,
1.173220113,-7.916751216,
1.224372635,-7.935673325,
1.270130126,-7.955723464,
1.311522811,-7.976501501,
1.349311372,-7.9975632,
1.384073478,-8.018432107,
1.416258161,-8.038618331,
1.446221385,-8.057644301,
1.474250108,-8.07507613,
1.500579047,-8.090557399,
1.525402631,-8.103840701,
1.548883727,-8.114811548,
1.571160121,-8.123500097,
1.59234942,-8.130078264,
1.612552807,-8.134842878,
1.631857962,-8.138188274,
1.650341367,-8.140573416,
1.668070134,-8.142488796,
1.685103474,-8.144427271,
1.70149389,-8.146861288,
1.717288157,-8.150227253,
1.732528124,-8.154916519,
1.74725138,-8.161271771,
1.76149182,-8.169587335,
1.775280104,-8.180112019,
1.788644066,-8.193053342,
1.801609043,-8.208582296,
1.81419817,-8.226838032,
1.826432627,-8.247932092,
1.83833185,-8.27195193,
1.849913722,-8.298963577,
1.861194733,-8.329013353,
1.872190117,-8.362128512,
1.882913982,-8.398316737,
1.893379416,-8.437564334,
1.903598581,-8.479832937,
1.913582802,-8.5250545,
1.92334264,-8.573124277,
1.932887957,-8.623891491,
1.942227984,-8.677147419,
1.951371363,-8.732610792,
1.960326206,-8.789910721,
1.96910013,-8.848568075,
1.977700302,-8.907977323,
1.986133469,-8.967392447,
1.994405995,-9.025922555,
2.002523886,-9.082544538,
2.010492815,-9.136140555,
2.018318153,-9.185565323,
2.026004981,-9.2297409,
2.033558119,-9.267765472,
2.040982137,-9.299011701,
2.048281376,-9.323186541,
2.055459961,-9.340332961,
2.062521815,-9.35077279,
2.069470675,-9.355009482,
2.0763101,-9.353620081,
2.083043482,-9.347163411,
2.089674061,-9.336120873,
2.096204928,-9.320873792,
2.102639038,-9.301712073,
2.108979216,-9.278863996,
2.115228166,-9.252535706,
2.121388474,-9.222949952,
2.127462622,-9.190376065,
2.133452986,-9.155146514,
2.139361845,-9.11765897,
2.145191389,-9.07836597,
2.150943718,-9.037756314,
2.156620851,-8.996332971,
2.162224728,-8.954591703,
2.167757217,-8.913003274,
2.173220113,-8.872000642,
2.178615145,-8.831971294,
2.183943978,-8.793254074,
2.189208218,-8.756139477,
2.194409412,-8.720872319,
2.199549051,-8.687655815,
2.204628577,-8.65665633,
2.209649378,-8.628008249,
2.214612798,-8.60181863,
2.219520132,-8.578171435,
2.224372635,-8.557131247,
2.229171518,-8.538746435,
2.233917953,-8.523051792,
2.238613074,-8.510070664,
2.243257979,-8.49981663,
2.247853731,-8.492294765,
2.252401359,-8.487502525,
2.25690186,-8.485430292,
2.261356201,-8.486061592,
2.26576532,-8.48937301,
2.270130126,-8.495333793,
2.2744515,-8.503905146,
2.278730298,-8.515039208,
2.28296735,-8.528677678,
2.287163465,-8.544750079,
2.291319425,-8.563171635,
2.295435991,-8.583840739,
2.299513903,-8.606636014,
2.303553881,-8.631413002,
2.307556624,-8.658000542,
2.311522811,-8.686197008,
2.315453105,-8.715766646,
2.319348148,-8.7464364,
2.323208569,-8.777893802,
2.327034977,-8.809786628,
2.330827966,-8.841725229,
2.334588115,-8.87328846,
2.338315987,-8.904034042,
2.342012133,-8.933513813,
2.345677087,-8.96129364,
2.349311372,-8.986976791,
